Date   NoDur  Durbl  Manuf  Enrgy  HiTec  Telcm  Shops  Hlth   Utils  Other
192701  -0.62  -0.91  -0.05   1.20  -1.14   1.88  -3.20   4.91  -1.79   1.52
192702   3.40   8.88   5.81   1.42   4.45   3.97   4.56   1.65   4.57   5.04
192703   2.74   1.65   1.48  -5.95   1.45   5.56   2.85   0.88   0.37   1.26
192704   3.37   3.17   0.80  -5.11   5.40  -2.13   2.22   3.25   1.71   0.90
192705   8.16   5.92   5.08   4.80   7.37   3.35   0.63   4.01   9.22   6.40
192706  -1.75  -2.95  -2.76  -3.20   3.28  -2.14   0.21   0.45  -3.58  -2.10
192707   4.82  13.13  10.81   2.90  11.89   3.73   9.45   9.84   5.31   6.11
192708   2.77   7.02   2.85   0.00   5.79   0.43  13.07   0.28   3.43  -1.19
192709   5.26   5.73   4.84   3.33   1.42   6.53   5.11   5.65   8.29   4.76
192710  -0.81  -4.38  -7.51  -2.06  -7.19  -2.09  -5.97   5.13  -4.34  -3.80
192711   6.80   6.35  12.03   4.15  10.62   2.83  10.91   3.68   6.32   4.58
192712   2.48   7.78   5.11   0.89   1.18   1.33  -0.19  -0.46   2.24   1.97
192801   0.52  -3.34  -1.07  -1.86  -0.40   0.30  -0.56   2.69   5.87  -1.09
192802  -4.08   1.28  -1.55  -0.21  -0.45  -0.30  -1.68  -1.38  -0.68  -1.99
192803   4.40  27.63   7.72   5.37  19.22   1.96   8.77  10.54   6.62   6.11
192804  -0.44   1.42   1.47  15.12   2.23   3.22   0.52   2.35  10.94   4.24
192805   0.87   5.64   4.27  -5.26   2.57   6.61   3.95   9.27   1.51   0.02
192806  -4.38  -4.04  -5.26  -4.05  -5.13  -5.22  -4.09  -3.15  -3.43  -4.30
192807   1.76   0.87   1.62   0.98   0.67  -1.28   4.85   2.39  -1.15  -0.27
192808   6.02   9.06   8.00   2.38   9.97   4.55  11.68  14.57   6.46   4.76
192809   1.23   7.78   3.83   5.21   0.72   0.15   1.54  -1.14   3.35   2.00
192810   0.83   0.14   3.92   1.91   1.87   2.97   4.05   0.05  -1.64  -0.36
192811   6.61   4.47  13.52  17.29  19.62   6.68  14.19   5.05  21.98  10.04
192812  -0.49  -1.25   2.51  -4.34   7.17  -0.38  -1.42  -0.41   1.52   0.45
192901   3.44   1.27  10.39  -7.68  10.47  13.38  -4.30   3.43  12.96   5.63
192902  -2.52  -0.11   2.66  -0.03  -0.74  -1.15  -2.51   0.05  -2.10   0.02
192903  -4.55  -1.83  -2.00  11.04   4.61   4.29  -5.76  -1.50  -3.10  -2.18
192904   1.84  -1.02   2.00   0.75   1.71   3.39   3.03   1.48   5.26   0.50
192905  -3.98 -15.03 -10.90  -5.55   0.45  -8.77  -7.35  -7.84   5.17   0.01
192906   5.32   6.93  13.28   1.14  17.10  13.70   8.03   4.52  23.43   5.80
192907   3.22  -2.92   4.31   0.38   9.13  13.68  -0.01   2.59   9.21   6.65
192908   4.86   3.03   8.93  11.64  12.27  10.98   7.07   3.09   9.20   7.87
192909  -3.67  -8.35  -7.41  -2.85  -7.39  -1.37  -4.57  -7.02   1.47  -6.47
192910 -10.46 -28.90 -19.54  -9.84 -27.80 -15.39 -23.88 -18.02 -29.91 -11.86
192911  -8.44 -17.30 -14.02  -6.28 -19.21  -9.47 -12.37  -7.90 -14.54  -9.62
192912   0.76   4.90   1.62  -0.96  10.93   1.01  -3.00   1.11   7.96  -0.50
193001   5.69   5.88   6.78  -0.92  10.47   1.20   3.41   2.55   7.21   4.60
193002   2.33   2.43   2.17  -4.47   7.63   7.06  -5.70   3.15   8.50   3.34
193003   2.27  11.43   7.48  17.48   8.18   8.79  -1.79   5.99   9.36   4.88
193004   0.55  -7.77  -7.98   6.66   2.05  -4.52   0.97  -1.27   3.40  -6.60
193005   1.36   4.16  -1.81  -3.54  -4.36   0.40  -0.26  -1.49  -1.18  -0.92
193006 -11.10 -22.24 -16.54 -15.22 -19.65  -8.34 -15.09 -13.34 -19.03 -11.89
193007   3.14  12.09   4.77   5.13   4.10   1.27   3.11   6.70   1.77   3.49
193008   1.95  -1.90  -0.20  -3.20   2.22   1.74   4.40   7.41   1.61  -0.36
193009  -9.01 -16.72 -14.09 -15.43 -18.18  -5.27  -9.71  -8.60 -12.04 -10.50
193010  -4.87 -11.60 -10.11  -8.20 -17.32  -4.12  -8.65  -4.29  -8.73  -8.36
193011   0.14   5.45  -0.64  -3.74  -3.23  -3.27   2.83  -3.26  -8.04  -5.25
193012  -4.68  -1.25  -8.17 -12.22 -10.73  -3.81 -12.83  -6.74  -3.61  -8.89
193101   5.50   8.00   3.73   5.27   5.22   4.79   5.96   8.27   6.14  11.87
193102   6.88  17.37  12.79   5.63  22.36   5.95  16.15   7.80  15.42   5.45
193103  -1.80  -3.78  -6.81 -14.23  -7.61  -3.59  -4.49   1.80  -3.21  -9.60
193104  -5.10  -7.83 -14.28 -13.42 -12.97  -4.25  -4.49  -3.83  -9.89  -9.80
193105 -10.89 -16.10 -16.36 -12.49 -12.90  -8.94  -4.15 -10.46 -10.75 -17.54
193106  10.88  14.59  17.53  17.55  18.61  10.21   7.03   9.77  12.21  16.41
193107  -3.60  -2.04 -10.36  -3.33 -10.35  -4.87  -1.04   2.61  -5.29  -9.95
193108  -0.61  -2.75  -0.18   8.92   3.79   0.82   2.17   0.39  -1.86  -3.97
193109 -24.49 -34.80 -29.88 -25.99 -33.83 -21.56 -28.62 -29.45 -32.90 -26.29
193110   6.70  12.92   6.24  13.28  11.29   4.34  12.62  11.26  10.47   1.33
193111  -4.27  -3.47  -8.34 -10.06 -14.10  -6.86  -7.42  -2.79  -4.67 -18.64
193112  -9.69  -8.77 -15.35 -17.56 -13.41  -7.94 -13.58  -4.10 -13.27 -16.44
193201   2.03  -6.95  -0.55  -4.31 -11.48  -4.04   0.25  -2.66  -2.53   6.84
193202   5.38   2.17   6.08   7.77   6.25  11.64   3.27   2.05   7.06  -0.26
193203  -5.80 -22.25 -14.22  -0.58 -14.38  -9.90  -8.29  -6.41  -9.49 -16.00
193204 -11.29 -29.56 -23.01 -12.21 -24.15 -12.39 -14.60 -19.77 -15.59 -22.26
193205 -21.33 -18.62 -18.13  -7.58 -28.67 -10.81 -30.04 -34.08 -26.64 -29.85
193206   1.53  -7.92  -2.53   5.08   7.09  -9.55  -2.47  11.05   1.44  -2.28
193207  24.11  45.00  41.74  33.53  44.06  16.70  27.08  29.18  29.09  55.53
193208  22.53  45.20  46.31  17.26  45.40  28.19  34.29  35.87  42.91  58.83
193209  -0.75   8.49  -2.48 -10.95  -5.58   0.25   0.52 -11.92  -4.53  -4.09
193210 -11.26 -24.78 -15.83  -3.62 -18.97  -8.14 -11.30 -18.56 -10.76 -17.93
193211  -7.17  -2.66 -10.32  -2.78  -8.22  -1.12  -5.14   5.53  -3.33  -6.94
193212   3.53   4.45   3.23   0.17   7.57   3.67   6.74   6.82   9.15   4.84
193301   4.77   0.84   3.34  -2.38   1.43   0.30  -2.57  -1.13  -4.39   8.68
193302  -8.85 -24.47 -17.53 -13.02 -20.10  -7.79 -15.87 -10.82 -19.64 -16.30
193303  10.43   9.16  11.26   3.97   6.28  -5.83   7.70  -3.16 -12.65   4.05
193304  34.27  79.90  57.31  32.58  53.53  13.23  36.97  37.13  24.69  30.36
193305  12.87  26.00  26.00  17.32  19.56  17.37  16.09  23.49  19.25  31.53
193306  10.57  20.78  12.41  12.52  10.88  10.50  16.32  10.39  15.39  14.35
193307  -6.68  -7.02 -11.38 -11.56 -11.06  -4.35 -13.63 -19.11 -13.60  -6.65
193308   9.91  20.78  16.27  18.39  12.87   4.52   7.23  -0.37  -1.26  14.73
193309  -7.54 -15.31 -10.08  -2.15 -17.16  -3.57  -8.81  -1.31 -19.67 -16.33
193310  -8.65 -10.06  -7.96  -4.84  -9.74  -7.19  -8.50  -6.02  -7.65 -10.87
193311   4.93  25.47  12.72  14.28  12.83   5.62  13.95   9.40  -2.44   5.42
193312  -3.31  10.41   4.61  -1.11   1.50  -3.74   6.10 -11.73   1.38   4.80
193401  10.36  13.13  11.07   9.29  15.95   5.97  21.06  16.77  20.34  18.40
193402  -4.74  -2.11  -3.08  -3.08  -6.38   2.12   2.66  -3.60  -1.76  -1.87
193403   1.01  -0.32  -1.22  -1.56   3.20   1.27   3.35  -0.64  -1.81   0.83
193404   3.23  -6.84  -2.75  -2.17  -2.29  -1.26  -0.44   7.99  -3.77  -1.64
193405  -2.83 -12.80 -10.02  -4.04  -6.59  -4.32  -7.22  -0.39  -7.74  -7.34
193406   3.82  -2.73   4.30   1.17   2.73   1.32   2.14   2.04   4.32   3.15
193407  -5.21 -13.78 -11.51 -10.11 -11.83  -4.35  -7.29  -1.90 -17.34 -17.24
193408   4.24  10.87   7.52   6.93   6.58   2.56   6.34  -3.05   2.09   4.39
193409   0.17   0.68  -1.19  -1.98  -0.30   1.90   1.04   0.80   1.60  -0.36
193410   0.61  -2.10  -0.41  -5.17  -0.95  -1.58   1.15  -0.71  -7.71  -2.16
193411   8.49  17.65  12.62   7.53  13.46  -1.72  10.38   4.07  -0.25   5.67
193412  -0.93   3.54   2.24   0.69   3.69  -0.59  -1.30   0.62  -8.73  -0.14
