Date      Mom   
192701   0.49
192702  -0.68
192703   5.41
192704   3.83
192705   3.73
192706  -0.64
192707   4.81
192708   1.17
192709   1.55
192710  -0.16
192711  -0.65
192712  -0.07
192801  -0.55
192802  -1.24
192803   4.73
192804  -3.84
192805   2.45
192806   2.02
192807   2.35
192808   3.65
192809   3.73
192810   4.37
192811   1.85
192812   1.66
192901   2.47
192902   3.58
192903  -0.85
192904   2.39
192905  -0.29
192906   8.93
192907   2.68
192908   6.19
192909   1.90
192910   4.36
192911  -1.46
192912   3.95
193001  -4.28
193002   0.67
193003  -4.16
193004   3.64
193005   0.00
193006   6.09
193007  -2.66
193008   4.22
193009  11.46
193010   6.85
193011  -0.96
193012  13.52
193101 -10.37
193102 -14.32
193103   9.60
193104  12.26
193105   9.07
193106 -17.66
193107   8.45
193108  -3.60
193109  10.31
193110   3.17
193111   8.19
193112  14.07
193201 -10.17
193202   2.14
193203  10.07
193204   6.71
193205  12.92
193206   3.19
193207 -45.09
193208 -51.94
193209   2.15
193210   4.16
193211  -2.73
193212   5.49
193301  -1.01
193302   4.24
193303   2.34
193304 -14.94
193305  -4.67
193306   3.41
193307   0.07
193308   7.60
193309   1.88
193310  -2.52
193311   6.31
193312   3.56
193401  -3.52
193402  -0.71
193403  -0.87
193404  -5.13
193405  -3.09
193406  -0.28
193407   8.63
193408   3.05
193409  -0.05
193410   6.58
193411   4.57
193412   4.49
193501   3.49
193502  13.68
193503   1.94
193504  -5.17
193505  -3.68
193506   2.48
193507  -4.58
193508  -8.50
193509   8.56
193510   2.45
193511  -6.19
193512   3.93
193601  -3.00
193602   2.56
193603   1.40
193604  -7.88
193605   2.99
193606   0.18
193607   3.12
193608   0.41
193609   0.62
193610   1.06
193611   2.59
193612   2.07
193701  -1.94
193702   3.00
193703   2.71
193704  -3.84
193705   0.65
193706   0.84
193707  -0.56
193708  -1.68
193709  -6.97
193710  -1.67
193711   0.14
193712   4.17
193801  -1.33
193802  -3.07
193803  15.85
193804  -8.72
193805   6.60
193806 -24.51
193807  -6.03
193808   4.07
193809   2.40
193810  -7.72
193811   3.38
193812   1.97
193901  -3.15
193902   3.10
193903  -1.94
193904   2.78
193905   3.70
193906   1.67
193907  -0.31
193908   5.88
193909 -29.20
193910   6.59
193911  -0.32
193912   5.39
194001   1.49
194002   1.88
194003  -0.14
194004   3.22
194005   3.00
194006  -2.60
194007   0.55
194008  -1.71
194009  -0.41
194010  -6.21
194011   1.78
194012   3.34
194101  -4.71
194102   1.05
194103   2.51
194104   2.89
194105   2.30
194106  -0.63
194107  -1.98
194108   0.16
194109  -1.73
194110   4.67
194111   3.97
194112   0.37
194201  -3.49
194202  -0.66
194203  -0.35
194204  -0.82
194205  -4.66
194206  -1.56
194207   0.80
194208  -0.18
194209  -0.65
194210  -3.99
194211  -0.80
194212   3.10
194301  -0.25
194302  -1.59
194303   4.79
194304   6.11
194305   5.59
194306  -1.07
194307  -4.63
194308   0.64
194309   1.78
194310  -0.50
194311  -4.69
194312   5.98
194401   0.94
194402   0.28
194403   2.48
194404   0.51
194405   2.17
194406  -5.16
194407   0.19
194408   4.59
194409  -1.09
194410  -1.41
194411   1.32
194412   3.38
194501  -0.15
194502   3.02
194503  -3.15
194504   4.76
194505   0.09
194506   4.06
194507  -2.57
194508  -1.44
194509   1.31
194510   0.17
194511   4.14
194512   1.26
194601   3.78
194602  -1.42
194603   2.47
194604   2.93
194605  -0.52
194606  -2.56
194607  -0.11
194608  -0.08
194609   0.62
194610   0.91
194611   0.38
194612  -0.08
194701  -6.21
194702  -0.51
194703   4.02
194704   5.03
194705   3.28
194706  -1.81
194707  -3.44
194708   3.34
194709  -0.07
194710   1.40
194711   4.28
194712   3.57
194801  -4.17
194802   1.52
194803  -0.17
194804   4.07
194805   2.38
194806   3.99
194807  -1.54
194808   0.25
194809  -1.26
194810   2.76
194811   0.82
194812   4.63
194901  -2.91
194902  -0.47
194903  -0.85
194904   3.05
194905   3.17
194906  -1.19
194907  -1.55
194908   1.67
194909  -1.46
194910  -0.07
194911   1.29
194912  -0.77
195001  -2.30
195002   1.35
195003   1.53
195004   0.39
195005   0.37
195006  -1.68
195007  -0.43
195008   3.21
195009  -0.07
195010   1.42
195011   3.67
195012   4.90
195101   2.01
195102  -1.67
195103  -2.99
